AreaCode	AreaNameMarathi
1	लालबाग
2	बोरिवली (प)
3	अंधेरी (पू)
4	चेंबुर (प)
5	खार (प)
6	गोवंडी (प)
7	भायखला (पु)
8	मिरा रोड
9	वाशी-नवी मुंबइ
11	गोरेगाव (पू)
12	बोरिवली (प)
14	शिवाजी पार्क
15	अंधेरी (प)
16	खार (पू)
17	बांद्रा (पू)
18	बांद्रा (प)
19	सांताक्रुज (पू)
20	सांताक्रुज (प)
21	विलेपार्ले (पू)
22	विलेपार्ले (प)
23	जोगेश्वरी (पू)
24	जोगेश्वरी (प)
25	गोरेगाव (प)
26	मालाड (पू)
27	मालाड (प)
28	कांदिवली (पू)
29	कांदिवली (प)
30	कुर्ला (पू)
31	कुर्ला (प)
32	विद्याविहार (पू)
33	विद्याविहार (प)
34	घाटकोपर (पू)
35	घाटकोपर (प)
36	विक्रोली (प)
37	विक्रोली (पू)
38	भांडुप (पू)
39	भांडुप (प)
40	मुलुंड (पू)
41	मुलुंड (प)
42	कांजुरमार्ग (पू)
43	कांजुरमार्ग (प)
47	शिवडी
48	वरळी
50	बँकबे
51	काँटन ग्रिन (पू)
52	वडाळा (पू)
53	कुलाबा
54	प्रभादेवी
55	ग्रान्ट रोड (पू)
56	मानखुर्द (द)
57	बलार्ड पियर
58	बांद्रा-कुर्ला संकुल
59	सँडहर्स्ट रोड (पू)
60	चर्चगेट
61	ताडदेव
63	ऐरोली-नवी मुंबई
64	ठाणे (प)
65	मढ
66	फोर्ट
67	शिव (प)
71	आँपेरा हाउस
72	काला चौकी
73	सहार
74	नागपाडा
75	खेतवाडी
76	देवनार
78	महात्मा फुले मार्केट
79	वडाळा (प)
80	जुहु
81	तुर्भे
82	अणुशक्ती नगर
84	दादर (पू)
85	दादर (प)
86	माहिम
88	माहिम (प)
89	माझगाव
90	दहिसर (प)
91	गिरगाव
92	असल्फा गाव
93	ओशिवरा
94	मरोल
95	गोवंडी (प)
96	मालवणी
97	छ.शिवाजी टर्मिनस
98	धोबितलाव
99	दहिसर (पू)
100	शिम्पोली
101	भेंडी बाजार
102	नेरुल (पू)-नवि मुंबई
103	परेल
104	नाना चौक
105	दिंडोशी
106	शिवाजी नगर
107	चार बंगला
108	बाबुलनाथ
110	चारकोप
111	धारावी
112	करी रोड
113	गोराइ
114	अँटोप हिल
115	माहुल
116	वाळकेश्वर
117	आर्थर रोड
118	पवई
119	भोइवाडा
121	आणिक 
122	भुलेश्वर
123	डाकयार्ड रोड
124	भायंदर
126	भायखळा (पू)
127	नापीअन सी रोड
128	चेंबुर (पू)
129	प्रतिक्षा नगर
130	कोपर खैराणे 
131	हाजीअली
132	कलिना
133	किंग्ज सर्कल
134	लोअर परेल
135	वर्सोवा
136	महापे-नवि मुंबई
137	जे.व्ही.पी.डी
138	चांदिवली
140	एलफिस्टन रोड
141	मांटुगा (प)
142	डोंगरी
144	मंत्रालय
145	घनसोली-नवी मुंबई
146	रे रोड (पू)
147	महालक्ष्मी (प)
148	ग्रांट रोड (प)
149	सी.पी.टँक
150	मरिन लाइन्स
151	काशिमिरा
152	पायधोनी
153	पेद्दार रोड
154	रे रोड (प)
155	सात रस्ता
156	मुंबई सेंट्रल (पू)
157	शिवडी (पू)
158	शि‌व (प)
159	मस्जिद बंदर
160	डेलिस्ले रोड
161	पार्ले (पू)
162	चुनाभचट्टी
163	खैरानी
164	फिल्टर पाडा
165	विहार
166	चर्नी रोड (पू)
167	मांटुगा (पू)
168	बेलापुर-नवी मुंबई
169	पोयसर
170	साकि-नाका
171	मोर गाव- जुहु
172	वाडी बंदर
173	अक्सा
174	मार्वे
175	मागाठाणे
176	वाशी नाका
177	मुंबई समाचार मार्ग
178	नाहुर (प)
179	म्युझियम
180	घोडबंदर
181	ठाणे (पू)
182	खारघर
183	कामोठे
184	कळंबोली
185	सानपाडा
186	जुहिनगर
187	सरसोल
188	सीवुडस्
189	कळवा
190	खारिगाव
191	दिघे
192	विटावा
193	मुंब्रा
194	उत्तन
