SLAB	ORD	LTD	EXP	AS	ACEXP
2.00	400	400	500	1000	1000
3.00	600	600	600	1500	1500
5.00	700	700	800	1500	1900
7.00	800	800	1000	2000	2300
10.00	1000	1000	1200	2500	3000
15.00	1200	1200	1500	3000	3900
20.00	1400	1400	1800	3500	4500
25.00	1600	1600	2100	4000	5500
30.00	1700	1700	2400	5000	5900
35.00	1800	1800	2600	6000	6300
40.00	2000	2000	2900	7000	7100
45.00	2200	2200	3200	8000	7900
50.00	2400	2400	3500	9000	8700
55.00	2600	2600	3800	10000	9500
60.00	2800	2800	4100	11000	10300
65.00	3000	3000	4400	12000	11100
