Day	Name
26.01.11	Republic Day
16.02.11	Id-E-Milad
19.02.11	Shivaji Jayanti
03.02.11	Mahashivratri
04.04.11	Gudi Padwa
12.04.11	Ram Navmi
14.04.11	Dr Ambedkar Jayanti
16.04.11	Mahavir Jayanti
22.04.11	Good Friday
17.05.11	Buddha Purnima
15.08.11	Independence Day
19.08.11	Parsi New Year
31.08.11	Ramzan Id (Id-Ul-Fitar)
01.09.11	Ganesh Chaturthi
06.10.11	Dasara
26.10.11	Diwali Amavasya
27.10.11	Diwali
07.11.11	Bakri Id (Id-Ul-Zuha)
10.11.11	Guru Nanak Jayanti
06.12.11	Muharram
20.04.11	Holi
01.05.11	Maharashtra Day
02.10.11	Gandhi Jayanti
25.12.11	Christmas
